# 05-20-26 3.0
# MCC;MNC;Disabled RAT1,Disabled RAT2;Carrier name
202;01;3G-partial;COSMOTE
202;05;3G-full;vf GR
202;10;3G-partial;WIND
204;04;3G-full;ChinaTelecom(Macau)
204;08;3G-full;KPN-NL
204;16;2G-full;Odido_NL
204;69;3G-full;KPN NL
206;01;3G-partial;Proximus
206;10;3G-partial;Orange B
216;01;3G-full;Yettel-HU
216;30;3G-full;Telekom-HU
216;70;3G-full;vodafone-HU
219;01;3G-full;HT HR
219;20;3G-full;HT HR
220;05;3G-partial;A1 SRB
222;01;3G-partial;TIM
222;10;3G-partial;Vodafone IT
226;05;3G-full;Digil-RO
226;10;3G-partial;Orange Romania
228;01;2G-full,3G-partial;Swisscom
228;02;2G-full,3G-partial;Sunrise
228;03;2G-full;Salt
230;01;3G-full;T-Mobile-CZ
230;02;3G-full;O2.CZ
230;03;3G-partial;VF CZ
231;01;3G-full;OrangeSlovensko
231;02;3G-full;Telekom SK
232;01;3G-full;A1
232;02;3G-full;A1
232;03;3G-full;Magenta-T
232;07;3G-full;Magenta-T
232;11;3G-full;A1
232;12;3G-full;A1
232;23;3G-full;Magenta-T
234;15;3G-partial;vodafone UK
234;20;2G-full,3G-full;Three
234;30;2G-partial,3G-partial;EE
234;33;2G-partial,3G-partial;EE
234;38;2G-full,3G-full;Virgin-GB
238;01;3G-full;TDC
238;02;3G-full;Telenor DK
238;06;2G-partial,3G-full;3 DK
238;15;2G-full,3G-full;Net1-DK
238;20;3G-full;TELIA
238;30;3G-full;Telenor DK
238;66;3G-full;Telenor DK
238;77;3G-full;Telenor DK
240;01;3G-partial;TELIA
240;02;2G-full,3G-partial;3 SE
240;03;2G-full,3G-full;Teracom-SE
240;07;2G-full,3G-full;Tele2
240;08;2G-full,3G-full;Telenor
242;01;3G-full;Telenor
242;02;2G-full,3G-full;Telia N
242;14;2G-full,3G-full;Ice Norway
244;03;3G-full;DNA
244;05;3G-full;elisa
244;12;3G-full;DNA
244;14;2G-full;ALCOM
244;91;3G-full;Telia FI
246;01;3G-full;Telia-LT
246;02;3G-partial;Bite
246;03;3G-partial;Tele2 LT
247;01;3G-full;LMT
247;02;3G-full;Tele2
247;10;3G-full;LMT
248;01;3G-full;Telia
248;02;3G-full;Elisa
248;03;3G-partial;Tele2
259;15;2G-full,3G-full;IDC-MD
260;02;3G-partial;T-Mobile.pl
260;03;3G-partial;Orange
260;10;3G-partial;T-Mobile.pl
262;01;3G-full;Telekom.de
262;02;3G-full;Vodafone.de
262;03;3G-partial;o2-de
262;04;3G-full;Vodafone.de
262;06;3G-full;Telekom.de
262;07;3G-partial;o2-de
262;09;3G-full;Vodafone.de
262;78;3G-full;Telekom.de
268;01;3G-partial;vodafone P
268;03;3G-partial;NOS
268;06;3G-partial;MEO
270;01;3G-full;POST
270;77;3G-partial;TANGO
270;99;3G-partial;Orange Luxembourg
272;01;3G-full;vodafone IE
274;01;2G-partial;Siminn
274;02;2G-partial;SYN
274;11;2G-full;NOVA
